experiment,sub_experiment,script,workflow_name,sample_index,resampling_rate,decode_policy,predicted_text_raw,predicted_text_clean,predicted_text_normalized,reference_text_normalized,raw_wer,raw_cer,clean_wer,clean_cer,inference_time_sec,timestamp
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,432,24000,clean,HATHER I'M CALLING ABOUT A BIGE FIRIN ALL COMING FOCE ETERITION FOR ME FORYO WHY,HATHER I'M CALLING ABOUT A BIGE FIRIN ALL COMING FOCE ETERITION FOR ME FORYO WHY,hather i m calling about a bige firin all coming foce eterition for me foryo why,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.7619047619047619,0.5094339622641509,0.7619047619047619,0.5094339622641509,0.5286911110006258,2026-04-04 00:44:09
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,25,8000,clean,an annel to gabber am i to not go in,an annel to gabber am i to not go in,an annel to gabber am i to not go in,i need to pay a bill id like to make payment,0.9090909090909091,0.6363636363636364,0.9090909090909091,0.6363636363636364,0.5700333059994591,2026-04-04 00:44:12
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,281,8000,clean,i rang out a tremble with him i rang out a tremble with him i rang ou,i rang out a tremble with him i rang out a tremble with him i rang ou,i rang out a tremble with him i rang out a tremble with him i rang ou,i want to open a joint account,2.142857142857143,1.7666666666666666,2.142857142857143,1.7666666666666666,0.8847492149998288,2026-04-04 00:44:13
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,250,8000,clean,i'm going on falk and lips at my club on breakfast i'm club and break,i'm going on falk and lips at my club on breakfast i'm club and break,i m going on falk and lips at my club on breakfast i m club and break,i m going overseas and i need to check my credit card works ok but ok overseas,0.8235294117647058,0.6025641025641025,0.8235294117647058,0.6025641025641025,1.003804578999734,2026-04-04 00:44:14
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,228,8000,clean,are you going to chunks round up,are you going to chunks round up,are you going to chunks round up,i need to change my address,1.0,0.8888888888888888,1.0,0.8888888888888888,0.6138027460001467,2026-04-04 00:44:15
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,142,8000,clean,arm i'll do for a moment rehnhjelm i'm always ready to hurt her for t,arm i'll do for a moment rehnhjelm i'm always ready to hurt her for t,arm i ll do for a moment rehnhjelm i m always ready to hurt her for t,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.9130434782608695,0.75,0.9130434782608695,0.75,1.143610572000398,2026-04-04 00:44:16
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,104,8000,clean,black over rubbing,black over rubbing,black over rubbing,the app isn t working,1.0,0.7142857142857143,1.0,0.7142857142857143,0.345114452999951,2026-04-04 00:44:17
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,558,8000,clean,though i'm unjust to all about falling i'll do my fault i'm unjust co,though i'm unjust to all about falling i'll do my fault i'm unjust co,though i m unjust to all about falling i ll do my fault i m unjust co,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.875,0.7884615384615384,0.875,0.7884615384615384,1.1338970300002984,2026-04-04 00:44:18
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,89,8000,clean,oh aunt ma'am i'm em running by a rheumatism of responsible but phili,oh aunt ma'am i'm em running by a rheumatism of responsible but phili,oh aunt ma am i m em running by a rheumatism of responsible but phili,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.9629629629629629,0.75,0.9629629629629629,0.75,1.0284286750002138,2026-04-04 00:44:19
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,604,8000,clean,i'll done around to sermon that ferry of a nun of an espousal dollar,i'll done around to sermon that ferry of a nun of an espousal dollar,i ll done around to sermon that ferry of a nun of an espousal dollar,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.9354838709677419,0.7677419354838709,0.9354838709677419,0.7677419354838709,1.1496674249992793,2026-04-04 00:44:20
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,432,8000,clean,you're aunt grandger will double it about everything that little dese,you're aunt grandger will double it about everything that little dese,you re aunt grandger will double it about everything that little dese,hi there i m calling about a business loan i was wondering if i could get some information from you please,1.0,0.7358490566037735,1.0,0.7358490566037735,0.9326436639994427,2026-04-04 00:44:21
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,25,16000,clean,i'm uneasy to pay a bill i like to make payment i'm uneasy to pay a b,i'm uneasy to pay a bill i like to make payment i'm uneasy to pay a b,i m uneasy to pay a bill i like to make payment i m uneasy to pay a b,i need to pay a bill id like to make payment,0.9090909090909091,0.6590909090909091,0.9090909090909091,0.6590909090909091,1.0403270169999814,2026-04-04 00:44:22
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,281,16000,clean,i want to open a joint account,i want to open a joint account,i want to open a joint account,i want to open a joint account,0.0,0.0,0.0,0.0,0.4450947779996568,2026-04-04 00:44:22
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,250,16000,clean,i'm johnnie avosailes and i need to check mark credit cad works of a,i'm johnnie avosailes and i need to check mark credit cad works of a,i m johnnie avosailes and i need to check mark credit cad works of a,i m going overseas and i need to check my credit card works ok but ok overseas,0.47058823529411764,0.3974358974358974,0.47058823529411764,0.3974358974358974,1.14772151499983,2026-04-04 00:44:23
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,228,16000,clean,i need to change my dread i,i need to change my dread i,i need to change my dread i,i need to change my address,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.5986364820000745,2026-04-04 00:44:24
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,142,16000,clean,ah i needn't to get so money aunt murray and i'm just wondering how w,ah i needn't to get so money aunt murray and i'm just wondering how w,ah i needn t to get so money aunt murray and i m just wondering how w,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.7391304347826086,0.6160714285714286,0.7391304347826086,0.6160714285714286,1.4741688379999687,2026-04-04 00:44:25
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,104,16000,clean,the ape isn't working,the ape isn't working,the ape isn t working,the app isn t working,0.2,0.047619047619047616,0.2,0.047619047619047616,0.3606849380003041,2026-04-04 00:44:26
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,558,16000,clean,here i'm just calling about sitting up a direct debat i'm i'm just ho,here i'm just calling about sitting up a direct debat i'm i'm just ho,here i m just calling about sitting up a direct debat i m i m just ho,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.7291666666666666,0.6875,0.7291666666666666,0.6875,1.620241466999687,2026-04-04 00:44:27
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,89,16000,clean,a man am a monder locke macard of los macardes on the dead phrase or,a man am a monder locke macard of los macardes on the dead phrase or,a man am a monder locke macard of los macardes on the dead phrase or,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.9629629629629629,0.6583333333333333,0.9629629629629629,0.6583333333333333,1.9842329009998139,2026-04-04 00:44:29
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,604,16000,clean,aye get i might ah i'm making a lodge purchase on law nuts as ill sen,aye get i might ah i'm making a lodge purchase on law nuts as ill sen,aye get i might ah i m making a lodge purchase on law nuts as ill sen,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.9032258064516129,0.7419354838709677,0.9032258064516129,0.7419354838709677,1.849442912000086,2026-04-04 00:44:31
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,432,16000,clean,i there i'm calling about a business line algebrain if i get some inf,i there i'm calling about a business line algebrain if i get some inf,i there i m calling about a business line algebrain if i get some inf,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.47619047619047616,0.42452830188679247,0.47619047619047616,0.42452830188679247,1.1479079540004022,2026-04-04 00:44:32
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,25,24000,clean,am i neach to pay a bill i bought to make pay men am i not to pay a b,am i neach to pay a bill i bought to make pay men am i not to pay a b,am i neach to pay a bill i bought to make pay men am i not to pay a b,i need to pay a bill id like to make payment,1.1818181818181819,0.75,1.1818181818181819,0.75,1.2400412030001462,2026-04-04 00:44:34
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,281,24000,clean,i want to erect a joint to come,i want to erect a joint to come,i want to erect a joint to come,i want to open a joint account,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.49057067899957474,2026-04-04 00:44:34
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,250,24000,clean,oh good dolly be free you from your mutiny truth ma'am grew rich old,oh good dolly be free you from your mutiny truth ma'am grew rich old,oh good dolly be free you from your mutiny truth ma am grew rich old,i m going overseas and i need to check my credit card works ok but ok overseas,1.0,0.782051282051282,1.0,0.782051282051282,1.4211941059993478,2026-04-04 00:44:36
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,228,24000,clean,i mean to change my grief i mean to change my grief i mean to change,i mean to change my grief i mean to change my grief i mean to change,i mean to change my grief i mean to change my grief i mean to change,i need to change my address,2.0,1.7777777777777777,2.0,1.7777777777777777,1.2371800689998054,2026-04-04 00:44:37
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,142,24000,clean,recover your coin my coat eh mortgager ron timorre rome bron briscomb,recover your coin my coat eh mortgager ron timorre rome bron briscomb,recover your coin my coat eh mortgager ron timorre rome bron briscomb,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,1.0,0.7232142857142857,1.0,0.7232142857142857,2.156042737000462,2026-04-04 00:44:39
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,104,24000,clean,the arp i him working,the arp i him working,the arp i him working,the app isn t working,0.6,0.23809523809523808,0.6,0.23809523809523808,0.40414421599962225,2026-04-04 00:44:39
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,558,24000,clean,hail her om jeff corn about shedding up a red de work der brute am om,hail her om jeff corn about shedding up a red de work der brute am om,hail her om jeff corn about shedding up a red de work der brute am om,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.9375,0.7740384615384616,0.9375,0.7740384615384616,2.898156956999628,2026-04-04 00:44:42
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,89,24000,clean,murdered murdered mon again cried old fierce or called short lucretia,murdered murdered mon again cried old fierce or called short lucretia,murdered murdered mon again cried old fierce or called short lucretia,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,1.0,0.75,1.0,0.75,2.2366584970004624,2026-04-04 00:44:45
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,604,24000,clean,humor martin all o mercures ye and ancient jerusalem and ancient jeru,humor martin all o mercures ye and ancient jerusalem and ancient jeru,humor martin all o mercures ye and ancient jerusalem and ancient jeru,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,1.0,0.7677419354838709,1.0,0.7677419354838709,2.8035856429996784,2026-04-04 00:44:47
exp3_asr_sensitivity,3A,GA20E,ga20e_speecht5_asr,432,24000,clean,hard bear i'm calling you bout a big good clarion i'll claim you fran,hard bear i'm calling you bout a big good clarion i'll claim you fran,hard bear i m calling you bout a big good clarion i ll claim you fran,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.7619047619047619,0.6226415094339622,0.7619047619047619,0.6226415094339622,1.4116495359994587,2026-04-04 00:44:49
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,114,16000,raw_vs_clean," I'm having issues with the online banking app. I'm not sure what's wrong with that. When I try to log in, it keeps crashing. So what I've done is I've deleted it and reinstalled it, but it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you."," I'm having issues with the online banking app. I'm not sure what's wrong with that. When I try to log in, it keeps crashing. So what I've done is I've deleted it and reinstalled it, but it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you.",i m having issues with the online banking app i m not sure what s wrong with that when i try to log in it keeps crashing so what i ve done is i ve deleted it and reinstalled it but it still does the same thing and it s not working is there any way that you can call me back and assist me thank you,we re having issues with the online banking app i m not sure what s wrong with but when i try to login it keeps crashing so what i ve done is i ve deleted it and we installed it but it still does the same thing and it s not working is there any way that you can call me back and assist me thank you,0.1044776119402985,0.03355704697986577,0.1044776119402985,0.03355704697986577,,2026-04-04 00:44:59
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,25,16000,raw_vs_clean, I need to pay a bill. I'd like to make payment., I need to pay a bill. I'd like to make payment.,i need to pay a bill i d like to make payment,i need to pay a bill id like to make payment,0.18181818181818182,0.022727272727272728,0.18181818181818182,0.022727272727272728,,2026-04-04 00:45:03
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,281,16000,raw_vs_clean, I want to open a joint account., I want to open a joint account.,i want to open a joint account,i want to open a joint account,0.0,0.0,0.0,0.0,,2026-04-04 00:45:07
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,250,16000,raw_vs_clean, I'm going overseas and I need to check my credit card works okay? Okay overseas., I'm going overseas and I need to check my credit card works okay? Okay overseas.,i m going overseas and i need to check my credit card works okay okay overseas,i m going overseas and i need to check my credit card works ok but ok overseas,0.17647058823529413,0.07692307692307693,0.17647058823529413,0.07692307692307693,,2026-04-04 00:45:12
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,228,16000,raw_vs_clean, I need to change my address., I need to change my address.,i need to change my address,i need to change my address,0.0,0.0,0.0,0.0,,2026-04-04 00:45:15
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,142,16000,raw_vs_clean, I need to get some money out tomorrow and I'm just wondering what's the maximum I can withdraw from the count. Thanks., I need to get some money out tomorrow and I'm just wondering what's the maximum I can withdraw from the count. Thanks.,i need to get some money out tomorrow and i m just wondering what s the maximum i can withdraw from the count thanks,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.13043478260869565,0.08928571428571429,0.13043478260869565,0.08928571428571429,,2026-04-04 00:45:20
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,104,16000,raw_vs_clean, The app isn't working., The app isn't working.,the app isn t working,the app isn t working,0.0,0.0,0.0,0.0,,2026-04-04 00:45:24
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,558,16000,raw_vs_clean," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up."," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.",hey there i m just calling about setting up a direct debit i m just hoping that you could help me i haven t been able to do this on the app and i just want to talk to someone about it to help set everything up,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.25,0.14903846153846154,0.25,0.14903846153846154,,2026-04-04 00:45:30
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,89,16000,raw_vs_clean," Hey mate, I'm on the lock my card. I've lost my card so I need to freeze it or stop all transactions. Can you please do that for me?"," Hey mate, I'm on the lock my card. I've lost my card so I need to freeze it or stop all transactions. Can you please do that for me?",hey mate i m on the lock my card i ve lost my card so i need to freeze it or stop all transactions can you please do that for me,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.2962962962962963,0.125,0.2962962962962963,0.125,,2026-04-04 00:45:37
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,604,16000,raw_vs_clean," Good day mate. I'm making a large purchase online at Cizzil, Sunday and SMS for a vacation goat or something. Not sure how that works. Could you explain that? Thanks."," Good day mate. I'm making a large purchase online at Cizzil, Sunday and SMS for a vacation goat or something. Not sure how that works. Could you explain that? Thanks.",good day mate i m making a large purchase online at cizzil sunday and sms for a vacation goat or something not sure how that works could you explain that thanks,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.3548387096774194,0.18064516129032257,0.3548387096774194,0.18064516129032257,,2026-04-04 00:45:42
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,432,16000,raw_vs_clean, Hi there. I'm calling about a business loan. I was wondering if I could get some information from you please., Hi there. I'm calling about a business loan. I was wondering if I could get some information from you please.,hi there i m calling about a business loan i was wondering if i could get some information from you please,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.0,0.0,0.0,0.0,,2026-04-04 00:45:46
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,32,16000,raw_vs_clean," You need to make a payment, an overdue payment."," You need to make a payment, an overdue payment.",you need to make a payment an overdue payment,i need to make a payment an overdue payment,0.1111111111111111,0.06976744186046512,0.1111111111111111,0.06976744186046512,,2026-04-04 00:45:51
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,30,16000,raw_vs_clean, Fuel payment., Fuel payment.,fuel payment,bill payment,0.5,0.25,0.5,0.25,,2026-04-04 00:45:54
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,95,16000,raw_vs_clean, Oh hi there. I've just discovered that my card has gone missing and I'd like to freeze my card so that no transactions can occur. Can you help me with that please? Thanks., Oh hi there. I've just discovered that my card has gone missing and I'd like to freeze my card so that no transactions can occur. Can you help me with that please? Thanks.,oh hi there i ve just discovered that my card has gone missing and i d like to freeze my card so that no transactions can occur can you help me with that please thanks,oh hi there i ve just discovered that my card has gone missing and id like to freeze my car so that no transaction connect her can you help me help me with that please thanks,0.2222222222222222,0.10344827586206896,0.2222222222222222,0.10344827586206896,,2026-04-04 00:46:00
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,223,16000,raw_vs_clean," Hi, I'd like to change the address on my account please."," Hi, I'd like to change the address on my account please.",hi i d like to change the address on my account please,hi i just said the address of my come please,0.6,0.4318181818181818,0.6,0.4318181818181818,,2026-04-04 00:46:04
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,238,16000,raw_vs_clean," Hello, I was just wondering if I could please change my address. Thank you."," Hello, I was just wondering if I could please change my address. Thank you.",hello i was just wondering if i could please change my address thank you,hello i was just wondering if i could please change my address thank you,0.0,0.0,0.0,0.0,,2026-04-04 00:46:08
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,517,16000,raw_vs_clean," Hello, I was wondering if you could please show me my latest transactions."," Hello, I was wondering if you could please show me my latest transactions.",hello i was wondering if you could please show me my latest transactions,hello i was wondering if you could please show me my latest transaction,0.07692307692307693,0.014084507042253521,0.07692307692307693,0.014084507042253521,,2026-04-04 00:46:12
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,616,16000,raw_vs_clean, I'm just wondering how I can deposit money into the account., I'm just wondering how I can deposit money into the account.,i m just wondering how i can deposit money into the account,i m just wondering how i can deposit money into the account,0.0,0.0,0.0,0.0,,2026-04-04 00:46:17
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,27,16000,raw_vs_clean," Yes, I'd like to pay my bill today using a credit card."," Yes, I'd like to pay my bill today using a credit card.",yes i d like to pay my bill today using a credit card,yes id like to pay my bill today using a credit card,0.16666666666666666,0.019230769230769232,0.16666666666666666,0.019230769230769232,,2026-04-04 00:46:21
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,574,16000,raw_vs_clean," Hi, I'm trying to make a large payment with a large sum of money. I do not know what to do with my messages and the payment code. What am I supposed to do?"," Hi, I'm trying to make a large payment with a large sum of money. I do not know what to do with my messages and the payment code. What am I supposed to do?",hi i m trying to make a large payment with a large sum of money i do not know what to do with my messages and the payment code what am i supposed to do,hi i m traffic lights payment prefer lots of money i do not know what to do with my messages and apparently chords,0.782608695652174,0.5526315789473685,0.782608695652174,0.5526315789473685,,2026-04-04 00:46:26
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,203,16000,raw_vs_clean, My address. I want to change my address., My address. I want to change my address.,my address i want to change my address,my address i want to change my address,0.0,0.0,0.0,0.0,,2026-04-04 00:46:31
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,429,16000,raw_vs_clean, I'm calling to find out about new business loans., I'm calling to find out about new business loans.,i m calling to find out about new business loans,i m calling to find out about new business loans,0.0,0.0,0.0,0.0,,2026-04-04 00:46:35
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,225,16000,raw_vs_clean," Hey there, I'm just calling about my address. I've recently moved and I'm just needing to change it. Hopefully you can just lend me a hand with that one. Thanks."," Hey there, I'm just calling about my address. I've recently moved and I'm just needing to change it. Hopefully you can just lend me a hand with that one. Thanks.",hey there i m just calling about my address i ve recently moved and i m just needing to change it hopefully you can just lend me a hand with that one thanks,hey there i m just calling about my address i ve recently moved and i m just needing to change it hopefully you can just lend me a hand with that one thanks,0.0,0.0,0.0,0.0,,2026-04-04 00:46:40
exp3_asr_sensitivity,3B,GA20C,ga20c_whisper_direct,459,16000,raw_vs_clean, Hi there. I have a question about an existing loan., Hi there. I have a question about an existing loan.,hi there i have a question about an existing loan,hi there i have a question about the existing loan,0.1,0.06,0.1,0.06,,2026-04-04 00:46:44
